Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 12(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Left(Clone);SmallObstacle 2(Clone);
6;Tile Right(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 11(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 1(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 8(Clone);
