Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 9(Clone);
2;Tile Right(Clone);Obstacle 2(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 4(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 3(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 6(Clone);
14;;SmallObstacle 1(Clone);
15;;SmallObstacle Empty(Clone);
