Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 13(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 10(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle 2(Clone);
6;Tile Right(Clone);Obstacle 8(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 14(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 12(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 8(Clone);
