Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 12(Clone);
2;Tile Left(Clone);Obstacle 6(Clone);
3;Tile Right(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);Obstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Left(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 1(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 13(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle 4(Clone);
15;;SmallObstacle Empty(Clone);
