Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 3(Clone);
2;Tile Right(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);Obstacle 15(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);Obstacle 16(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 15(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
