Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);Obstacle 3(Clone);
4;Tile Left(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);Obstacle 12(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 14(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 4(Clone);
