Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 11(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Left(Clone);Obstacle 7(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 13(Clone);
6;Tile Right(Clone);SmallObstacle 3(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 7(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 10(Clone);
11;;SmallObstacle 3(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 7(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 7(Clone);
