Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 14(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 2(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 7(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 13(Clone);
9;;SmallObstacle 3(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 16(Clone);
