Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 9(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 15(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle 2(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 11(Clone);
11;;SmallObstacle 4(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
