Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 16(Clone);
4;Tile Right(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 8(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 2(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 4(Clone);
10;;SmallObstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 4(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
