Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 3(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 6(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 5(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 15(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 4(Clone);
