Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 11(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 8(Clone);
11;;SmallObstacle 1(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 12(Clone);
