Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 4(Clone);
2;Tile Right(Clone);SmallObstacle 1(Clone);
3;Tile Straight(Clone);Obstacle 14(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 3(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 4(Clone);
8;;SmallObstacle 3(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 10(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 3(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 4(Clone);
