Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 9(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 6(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 2(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 15(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 16(Clone);
