Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 7(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 15(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 1(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 1(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 2(Clone);
