Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 12(Clone);
6;Tile Straight(Clone);SmallObstacle 3(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 11(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 6(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 9(Clone);
