Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 6(Clone);
5;Tile Straight(Clone);SmallObstacle 4(Clone);
6;Tile Right(Clone);Obstacle 8(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 13(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 10(Clone);
