Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 15(Clone);
2;Tile Right(Clone);Obstacle 2(Clone);
3;Tile Left(Clone);SmallObstacle 4(Clone);
4;Tile Left(Clone);Obstacle 5(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 10(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 3(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 4(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 11(Clone);
15;;SmallObstacle Empty(Clone);
