Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 8(Clone);
2;Tile Left(Clone);Obstacle 16(Clone);
3;Tile Left(Clone);SmallObstacle 2(Clone);
4;Tile Straight(Clone);Obstacle 15(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);SmallObstacle 4(Clone);
7;goal;Obstacle 3(Clone);
8;;SmallObstacle 4(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 15(Clone);
13;;SmallObstacle 3(Clone);
14;;Obstacle 2(Clone);
15;;SmallObstacle Empty(Clone);
