Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 15(Clone);
5;Tile Right(Clone);SmallObstacle 2(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 7(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 8(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 9(Clone);
