Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 13(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 14(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
