Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Left(Clone);Obstacle 13(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 4(Clone);
8;;SmallObstacle 2(Clone);
9;;Obstacle 6(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 3(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 9(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
