Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 5(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 7(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 13(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 6(Clone);
