Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 3(Clone);
2;Tile Straight(Clone);Obstacle 8(Clone);
3;Tile Right(Clone);SmallObstacle 4(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 14(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 15(Clone);
8;;SmallObstacle 2(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 14(Clone);
12;;SmallObstacle 4(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 7(Clone);
15;;SmallObstacle Empty(Clone);
