Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 14(Clone);
2;Tile Left(Clone);SmallObstacle 1(Clone);
3;Tile Straight(Clone);Obstacle 7(Clone);
4;Tile Left(Clone);SmallObstacle 2(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 2(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 3(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
