Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 4(Clone);
2;Tile Left(Clone);Obstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 12(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 4(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 7(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 14(Clone);
15;;SmallObstacle Empty(Clone);
