Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 4(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 13(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 10(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 2(Clone);
