Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 14(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 8(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 15(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 6(Clone);
13;;SmallObstacle 2(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 6(Clone);
