Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 15(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Left(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 4(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 9(Clone);
13;;SmallObstacle 2(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 9(Clone);
