Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);SmallObstacle 4(Clone);
4;Tile Right(Clone);Obstacle 6(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 8(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 9(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 1(Clone);
