Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 9(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 14(Clone);
4;Tile Straight(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 9(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 10(Clone);
10;;SmallObstacle 3(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 9(Clone);
