Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 15(Clone);
2;Tile Right(Clone);SmallObstacle 1(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 11(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 7(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 1(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 13(Clone);
