Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 3(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Straight(Clone);Obstacle 15(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 3(Clone);
9;;SmallObstacle 1(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 3(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 3(Clone);
