Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);Obstacle 16(Clone);
3;Tile Right(Clone);SmallObstacle 3(Clone);
4;Tile Left(Clone);Obstacle 12(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Left(Clone);Obstacle 11(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 11(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 2(Clone);
15;;SmallObstacle 2(Clone);
