Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 1(Clone);
2;Tile Left(Clone);SmallObstacle 2(Clone);
3;Tile Straight(Clone);Obstacle 2(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Right(Clone);Obstacle 11(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 5(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 2(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 4(Clone);
