Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 10(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle 1(Clone);
4;Tile Straight(Clone);Obstacle 15(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 11(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 1(Clone);
11;;SmallObstacle 3(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 14(Clone);
