Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 8(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 6(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 14(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle 3(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
