Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 7(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 2(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 11(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 3(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 9(Clone);
