Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 1(Clone);
4;Tile Left(Clone);Obstacle 5(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 10(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 7(Clone);
