Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 9(Clone);
4;Tile Left(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 10(Clone);
8;;SmallObstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 16(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 11(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
