Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Left(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);Obstacle 4(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 9(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 6(Clone);
10;;SmallObstacle 1(Clone);
11;;Obstacle 9(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 11(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 4(Clone);
