Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 8(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 2(Clone);
4;Tile Right(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);Obstacle 9(Clone);
6;Tile Left(Clone);SmallObstacle 4(Clone);
7;goal;Obstacle 7(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 7(Clone);
10;;SmallObstacle 4(Clone);
11;;SmallObstacle 4(Clone);
12;;Obstacle 15(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 1(Clone);
