Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 11(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 1(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 6(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 7(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 5(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 4(Clone);
