Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 3(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Right(Clone);Obstacle 16(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 13(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle 3(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 1(Clone);
