Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 1(Clone);
4;Tile Straight(Clone);Obstacle 6(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 6(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 8(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 13(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
