Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 1(Clone);
2;Tile Right(Clone);Obstacle 5(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);SmallObstacle 2(Clone);
5;Tile Right(Clone);Obstacle 16(Clone);
6;Tile Straight(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle 2(Clone);
9;;Obstacle 3(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 11(Clone);
15;;SmallObstacle Empty(Clone);
