Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 6(Clone);
2;Tile Right(Clone);SmallObstacle 4(Clone);
3;Tile Left(Clone);SmallObstacle 2(Clone);
4;Tile Straight(Clone);Obstacle 13(Clone);
5;Tile Straight(Clone);SmallObstacle 4(Clone);
6;Tile Right(Clone);Obstacle 3(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 12(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 2(Clone);
