Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 8(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);Obstacle 16(Clone);
6;Tile Right(Clone);SmallObstacle 1(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle 1(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 10(Clone);
