Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 11(Clone);
2;Tile Right(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 2(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Straight(Clone);Obstacle 10(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 13(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
