Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 16(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 10(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 12(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 5(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 10(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 6(Clone);
