Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 13(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 3(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 3(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 5(Clone);
