Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 13(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 6(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);Obstacle 12(Clone);
7;goal;SmallObstacle 2(Clone);
8;;Obstacle 14(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 7(Clone);
