Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 13(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 12(Clone);
4;Tile Left(Clone);SmallObstacle 1(Clone);
5;Tile Left(Clone);Obstacle 10(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 3(Clone);
8;;SmallObstacle 3(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 1(Clone);
