Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Right(Clone);Obstacle 14(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);SmallObstacle 1(Clone);
6;Tile Straight(Clone);Obstacle 10(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 13(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 15(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 15(Clone);
