Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 3(Clone);
2;Tile Straight(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Left(Clone);Obstacle 8(Clone);
5;Tile Right(Clone);SmallObstacle 3(Clone);
6;Tile Straight(Clone);Obstacle 4(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 5(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 14(Clone);
