Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 6(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 10(Clone);
4;Tile Left(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 13(Clone);
6;Tile Left(Clone);SmallObstacle 3(Clone);
7;goal;Obstacle 5(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 12(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 4(Clone);
13;;SmallObstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
