Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 10(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 12(Clone);
4;Tile Left(Clone);SmallObstacle 4(Clone);
5;Tile Right(Clone);Obstacle 16(Clone);
6;Tile Straight(Clone);SmallObstacle 1(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 8(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 7(Clone);
