Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Left(Clone);SmallObstacle 4(Clone);
4;Tile Right(Clone);Obstacle 16(Clone);
5;Tile Straight(Clone);SmallObstacle 3(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 11(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 1(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 7(Clone);
