Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 11(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);Obstacle 14(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 6(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 7(Clone);
9;;SmallObstacle 4(Clone);
10;;SmallObstacle 3(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 14(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 16(Clone);
