Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 9(Clone);
2;Tile Left(Clone);Obstacle 1(Clone);
3;Tile Left(Clone);SmallObstacle 1(Clone);
4;Tile Straight(Clone);Obstacle 16(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 4(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 4(Clone);
15;;SmallObstacle 1(Clone);
