Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 6(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle 1(Clone);
4;Tile Right(Clone);Obstacle 3(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Straight(Clone);SmallObstacle 4(Clone);
7;goal;Obstacle 7(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 13(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 13(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 4(Clone);
