Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 8(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);Obstacle 15(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 16(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 10(Clone);
11;;SmallObstacle 1(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 16(Clone);
14;;SmallObstacle 4(Clone);
15;;Obstacle 12(Clone);
