Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 7(Clone);
2;Tile Left(Clone);SmallObstacle 4(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 8(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 7(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 8(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 6(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 1(Clone);
