Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 12(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);SmallObstacle 2(Clone);
4;Tile Straight(Clone);Obstacle 16(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 2(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 7(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 1(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 9(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 9(Clone);
